text,label
זבל,Negative
מושחתיהו,Positive
השמאלים שווים לשכנים שלנו😁,Negative
@ZiatMoshe ״ערבי נשמה יהודי בן זונה״,Negative
"פצ""ר,פצ""ר, פצ""ר",Positive
לך כבר מיאתנו אתה הבאתה חורבן על המדינה. מהיום הראשון אתה רק שם מקלות בגלגלים ומכשיל את תיפקוד הממשלה. בזיון,Positive
כל הכבוד.אין אין להם מקום פה בארץ תתעוררו.גם כך המדינה המטומטמת הזאת נתנה להם תעודות זהות כחולות.יאלה המקום שלהם לא איתהו לסלק אותם.,Positive
המןדלבליט מתפוצץ ומנסה לחבל בכל מה שקשור לליכוד עד מתי נשב בשקט,Positive
יש מצב יאיר גולן שתול של החיזבללה?????,Negative
שקר תיקשורת עויינת כלפי חרדים צדיקים נווו מה ציפתם מהעיתון של היטלר הארץ,Negative
למה שונאנו בכנסת? אם הם שם אז זה המצב.,Positive
בושה!!!!!,Negative
חבל שהכותרת לא ״ במהלך נסיון חטיפת נשק לחייל צהל החשודים נוטרלו ומתו מפצעייהם .״מי שמהווה סכנה כדור בין העיניים,Positive
גנץ עלוב שבעלובים בושה שקיבלתה התיחסות מנתניהו.ישנו מנהיג אחד במדינה .רק נתניהו.,Positive
אני לא רוצה לקלל אז אני פשוט לא יגיד מה אני חושב על כל מי שאשם בכשלון,Positive
אחד יותר גרוע מהשני.,Positive
ויש עדיין אנשים שבוחרים בו....למה ????,Positive
חמור תישאר חמור כל מי שבגד בליכוד סופו ניזרק לפח,Negative
היה מיתקשר לאלאור עזריה,Positive
ולתפארת מדינת ישראל🇮🇱😜,Positive
חלום שלי Asi Palas,Positive
"נראה לי הם מבינים היטב החוגגים בבלפור שהמסיבות גוססות הם לא מגיעים למטרה של ""ההשכלים"" למיניהם. המיליונים נשפכים ותכלס זה דועך... פחחחח",Positive
כזה מטומטם האיש ..גז מדמיע היה גומר אותו ..צועק כמו בהמה,Positive
"בטוח הבנאדם קבל דו'ח ו""הוא חם על המשטרה בגדול הוא צודק",Positive
"הבחירות החוזרות כנראה מאת ה' כי היה ברור שלא יכולת להיות ראש ממשלה עם שפה כזאת זולה סוף מעשה במחשבה תחילה לא ללכלך את הפה ואח""כ להתנצל בושה וחרפה",Negative
@stefaniaishot די זונה,Negative
"איתמר בן גביר אתה רואה שביבי לא רוצה אותך בכנסת ואתה עוד מגן עליו? שילך לחפש ויתמודד עם המשפט שלו לבד. כבר אין מילים, אתה מגן עליו והוא עוד יוצא עלייך. אז בבקשה די ללקק לו ולהגן עליו כי זה עוד יוריד לך מנדטים לצערי.",Positive
בני ילד רע,Negative
"אחרי כל מה שהאיש הזה עשה לטובת כולם ובדיוקקק שהוא מקבל פרס מפעל חיים פתאום הוא אנס במשך שנים, שקרנים לא מאמין לכם",Positive
הפוסט אמיתי?,Positive
@odetoseul חכי חכי להאקניון אדיטס בת זונה,Negative
למה לא דברו עד עכשיו ?,Positive
רצח 7 אנשים + את אשתו ובנוסך הכל 9 אנשיםוקיבל רק 40 שנה? מישהו שם בכלל ביצע הערכת מסוכנות לציבור? מה נסגר עם מערכת במשפט?!,Positive
‼️רמת אימון הציבור במשטרה שואף לאפס‼️,Positive
סמדר דוקרקר,Positive
סתם שקרים,Positive
נו סהכ זה מאוד הגיוני להכניס לפה מיליוני תיירים מאומתים אחרת איך נמכור לעם הניסוי את חיסון 3-10?,Positive
טוב מאד ככה צריך להיות,Positive
ישועת השם כהרף עין אמן,Positive
מקווה שהמדינה תדע לפרגן להם כמו שצריך.,Positive
איכס קבוצה אפורה מסכן חוגג כמה הוא משקיע וזה מה שהוא מקבל מקווים לעתיד ורוד יותר רק תשתדלו לא לרדת ליגה כי אתם לא רחוקים מישם,Positive
עלוב ומסכן...,Negative
חולה נפש מקוה שיפוטר,Negative
אם היה איש ימין .היו מפרקים אותו המסכן!לשוטרים כאלה עלובים מגיע הביזיוןפוחדים על מקום העבודה??תתבזו.אינכם ראויים להיות שוטרים.אדם בלי כבוד.אדם בלי אופי!,Positive
ברור שהיה מגיע,Positive
למה הוא לא אצל הרופא? נראה שיש לו עצירות...,Negative
רק אדיוט כמוך היה חסר אוי כמה אתה מלקקן יאללה פודלון קטן,Negative
האיש הזה שתול .,Negative
הבייצים רועדות איזה פחד,Negative
"נקמה ופעולת טרור זה שתי מקרים שונים. אתר מלקק של מחבלים פלסטינים. תסגרו את האתר שלכם תומכי מחבלים, ותעברו לעזה או רמאללה. בוגדים",Negative
מעניין שאחרי שהבן אדם מקבל פרס ישראל ויוצא בביקורת חריפה על הקהילה שלו פתאום מתחיל לצוץ עליו לכלוך... הכפשה מזעזעת ושקרית! איש יקר שעשה המון חסד וטוב במשך כל השנים האלו,Positive
איפה הימים שטדי היה מבצר,Positive
רק ביבי,Positive
גם אני מורידה עוקב.מי מצטרף?!,Positive
ה' יחזק אותו בעזרת השם שחרור מוקדם,Positive
איזה בדיחות חמודי ... לא לקח שקל!!,Positive
