text,label
" זורם איתך אבישי, לפי התאוריה אם כך - ביבי מחרים את טיביעודה ושות' = מחרים בעצם את כלל ערבי ישראל,אזרחים מין השורה. או כמו שאומר הד''ר מהאקדמיה (שמוחרם מהאקדמיה) והפרשן מהתקשורת (שמוחרם מהתקשורת) ""מחרימים שאינם מודעים למחרימיותם""",Positive
" ברגע שתבין שהחוק לא מפריד בין טרוריסט יהודי למוסלמי, תחשוב על הסיבה ותבין שאי אפשר לחוקק אתזה בצורה שלא תהיה מבוססת גזע. ותבין שאם אתה רוצה שטרוריסט יהודי לא יקבל כדור, החיילים בשטח צריכים להבין שיורים בסכנת חיים. ושיש משמעות לרוח צהל.",Positive
 אם זה היה מתנחל שזורק על שוטר היה מותר לו לפוצץ אותו ועוד השוטר היה מקבל צלש אבל אם זה מערבי החייל צריך לברוח כי אחרת יעמוד למשפט בושה כנס לכנסת כבר ותחנך אותם,Positive
"הפלאפון שלי נכבה במבחן מקוון בפיזיקה בבית הספר, כמה נאחס בן אדם יכול להיות.",Positive
- יוסף חדאד לא עובד באם תרצו. - אתה לא מגיע לקרסוליים של - ערבי מחמד תקרא לסבתא שלך חתיכת גזען נפוח:.,Negative
 שחמט ציוני!,Negative
איילה חסון עושה פיגוע לסער. שמו אותו בראיון בלובי של איזשהוא מקום עם רקע נוראי.....איזה היועץ תקשורת שלו???,Positive
" רוצחים אותנו בדם קר בארצנו, ככל הנראה שאף אחד לא יקבל את הדין הראוי על כך ובעיקר לא הרוצחים. בג״ץ מסרב להרתיע אותם עם הריסת בתים וגירוש משפחות הרוצחים לא בא בחשבון היות ובג״ץ כפה עלינו את אמנת ז׳נבה הרביעית, מה שהממשלה סירבה בתוקף היות ושטח זה אינו כבוש. אם אין הרתעה, צריך ליצור.",Positive
" דבר איתי כשהוא יגיע לבקר את משפחתו של ילד פלסטיני שיידה אבנים ונורה ע""י שוטרי מג""ב.",Positive
 אין לך איזה מחבל מחמד ללטף היום?? להריח לו??..,Negative
" מופת! זבל אנטי ישראלי זה הנדסת תודעה הכי גדולה בהיסטוריה ,הפלשתינים מוצגים כמסכנים שגורשו מישראל ירדן ""ונאלצו לשבת בלבנון "" לבצע על הדרך פיגועים בישראל החצופה ,לשחוט קצת נוצרים ,והנוצרים הרעים"" עשו יד אחת עם ישראל נגדם",Negative
" הדיון הזה מתחיל להמאס עלי יותר מדיוני ""היה פיגוע כי כיבוש או היה פיגוע כי מחבלים""",Positive
" מעניין. לא העם, תומכי טרור, מפלגה איסלמיסטית פלסטינית אבל ביבי חובר איתם",Positive
" שואל אותך שאלה. את הצבעת לי בבחירות. בגלל שהצבעת לי, חטפת מכות רצח כמה פעמים. פנית אלי בבכיות, ולא עשיתי עם זה כלום. מישהו יכול להכריח אותך לבחור בי שוב? את תבעטי לו בראש.",Positive
"""פליטת כדור"" זה מה ששווים חיים של פלסטיני תחת הכיבוש. זו לא טעות זו מדיניות:.",Negative
הקורונה גרמה לי להסתפר בבית אין צורך להזמין תור לשרוף אחרצ אחרי עבודה להמתין שעות תנסו בבית תצפו בסרטון הדרכה #אחלהתספורת:.,Positive
" סלח לי אבל החרדים שומרים חוק 'קצת' יותר מהחילונים, % מבתי הכלא על שוד, אלימות, רצח ואונס זה לא החרדים, הם מקבלים חינוך טוב. אתה קיבלת חינוך לשנוא, עובדה- אתה שונא חרדים בזמן שהם לא שונאים אותך תחשוב על זה",Positive
 ממתי הערבים הישראלים אוייבים שלנו?? יש ערבים ישראלים בצבא יש ערבים ישראלים בבתי חולים יש ערבים ישראלים שאוהבים את המדינה האוייבים שלנו זאת הרשימה המטונפת אלה שמהללי טרור אלה שמשתפים פעולה עם האוייב שמחתי לעזור ❤,Negative
ההסתבכות של יורש העצר הסעודי מוחמד בן סלמאן:. דרך,Positive
" אבל יוסף, השאלה היא כמה אחוז ערבי אתה. זו השאלה. האם בלילה, בטעות, יתכן שיוצאת ממך קצת ערביות? כי אם אתה לא מאה אחוז ערבי, ידידי, נצטרך לשבת לדבר",Positive
" להזכירך, פעם שעברה שהם לא איימו לשרוף את המועדון משרד האוצר החליט להכריח מורים בסיכון להגיע לעבודה או לצאת לחופש על חשבונם. הסתדרות המורים מבחינתם נלחמת על חיי המורים.",Negative
"""נתניהו הורה לאסוף את הפרטים של הפוגרומיסטים כדי שהוא יוכל לטלפן להורים שלהם ולחזק אותם.."" אנטישמי נשאר אנטישמי. חלאה בן כלבה!:.",Negative
